Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id,Variant,Seed,Test_Time_s,n_features,pos_rate
BiLSTM,ICU,Sequence Only,0.2885,0.5375,0.1278,0.1264,0.8436,0.2198,21.0,27.3,6e09b6e8a1606e84,lat,42,,,
BiLSTM,ICU,Sequence + Tabular,0.7541,0.785,0.3804,0.2774,0.6663,0.3917,28.0,39.0,6e09b6e8a1606e84,lat,42,,,
BiLSTM,SW,Sequence Only,0.9139,0.69,0.3496,0.5667,0.3628,0.4424,16.0,16.5,0f50fb19f263c430,lat,42,,,
BiLSTM,SW,Sequence + Tabular,0.8504,0.8916,0.6013,0.3577,0.7399,0.4822,28.0,30.9,0f50fb19f263c430,lat,42,,,
BiLSTM,ICU,Sequence Only,0.3018,0.5343,0.1632,0.1604,0.8513,0.27,24.0,31.3,6e09b6e8a1606e84,old,1,,,
BiLSTM,ICU,Sequence + Tabular,0.771,0.812,0.5253,0.3639,0.682,0.4746,20.0,27.9,6e09b6e8a1606e84,old,1,,,
BiLSTM,SW,Sequence Only,0.8715,0.6474,0.3327,0.5795,0.2697,0.3681,22.0,22.6,0f50fb19f263c430,old,1,,,
BiLSTM,SW,Sequence + Tabular,0.8278,0.8777,0.6109,0.4315,0.7587,0.5502,18.0,19.8,0f50fb19f263c430,old,1,,,
BiLSTM,ICU,Sequence Only,0.7002,0.5396,0.1654,0.1705,0.2528,0.2037,30.0,38.8,6e09b6e8a1606e84,old,2,,,
BiLSTM,ICU,Sequence + Tabular,0.8115,0.8122,0.5267,0.4181,0.6204,0.4995,25.0,34.8,6e09b6e8a1606e84,old,2,,,
BiLSTM,SW,Sequence Only,0.8835,0.6461,0.3308,0.7377,0.2488,0.3721,21.0,21.4,0f50fb19f263c430,old,2,,,
BiLSTM,SW,Sequence + Tabular,0.8367,0.8802,0.6148,0.4468,0.7416,0.5577,26.0,28.8,0f50fb19f263c430,old,2,,,
BiLSTM,ICU,Sequence Only,0.3104,0.5328,0.1634,0.1606,0.8396,0.2697,17.0,22.3,6e09b6e8a1606e84,old,3,,,
BiLSTM,ICU,Sequence + Tabular,0.8004,0.8124,0.5262,0.4006,0.6379,0.4922,33.0,45.8,6e09b6e8a1606e84,old,3,,,
BiLSTM,SW,Sequence Only,0.8713,0.6483,0.3323,0.5787,0.2681,0.3664,13.0,13.4,0f50fb19f263c430,old,3,,,
BiLSTM,SW,Sequence + Tabular,0.8276,0.8793,0.6152,0.4323,0.7721,0.5543,26.0,29.0,0f50fb19f263c430,old,3,,,
BiLSTM,ICU,Sequence Only,0.3107,0.5329,0.1615,0.1596,0.8314,0.2678,15.0,20.0,6e09b6e8a1606e84,old,4,,,
BiLSTM,ICU,Sequence + Tabular,0.789,0.8098,0.5272,0.3842,0.65,0.483,25.0,35.1,6e09b6e8a1606e84,old,4,,,
BiLSTM,SW,Sequence Only,0.8717,0.6484,0.3334,0.5817,0.2692,0.368,26.0,27.0,0f50fb19f263c430,old,4,,,
BiLSTM,SW,Sequence + Tabular,0.8387,0.8801,0.6126,0.4502,0.7351,0.5585,33.0,36.6,0f50fb19f263c430,old,4,,,
BiLSTM,ICU,Sequence Only,0.3016,0.535,0.1631,0.1599,0.8474,0.269,17.0,22.1,6e09b6e8a1606e84,old,42,,,
BiLSTM,ICU,Sequence + Tabular,0.7932,0.8101,0.5246,0.3906,0.6488,0.4876,23.0,31.8,6e09b6e8a1606e84,old,42,,,
BiLSTM,SW,Sequence Only,0.873,0.6486,0.3331,0.595,0.2654,0.3671,28.0,28.5,0f50fb19f263c430,old,42,,,
BiLSTM,SW,Sequence + Tabular,0.8424,0.8807,0.6147,0.4572,0.7217,0.5598,27.0,29.6,0f50fb19f263c430,old,42,,,
BiLSTM,ICU,Sequence Only,0.3239,0.5507,0.1553,0.1504,0.824,0.2544,18.0,22.0,14d2082d80407129,restricted,1,,,
BiLSTM,ICU,Sequence + Tabular,0.7792,0.7912,0.4389,0.3425,0.6276,0.4432,38.0,45.4,14d2082d80407129,restricted,1,,,
BiLSTM,SW,Sequence Only,0.685,0.6955,0.6364,0.7156,0.5248,0.6055,18.0,3.9,476006eb47fe7cf9,restricted,1,,,
BiLSTM,SW,Sequence + Tabular,0.7393,0.8053,0.8037,0.7353,0.6783,0.7056,29.0,6.9,476006eb47fe7cf9,restricted,1,,,
BiLSTM,ICU,Sequence Only,0.341,0.5444,0.1547,0.1509,0.8017,0.254,30.0,33.3,14d2082d80407129,restricted,2,,,
BiLSTM,ICU,Sequence + Tabular,0.7472,0.7884,0.4374,0.3128,0.6728,0.427,20.0,24.0,14d2082d80407129,restricted,2,,,
BiLSTM,SW,Sequence Only,0.6832,0.6944,0.6348,0.711,0.5264,0.6049,24.0,5.2,476006eb47fe7cf9,restricted,2,,,
BiLSTM,SW,Sequence + Tabular,0.7396,0.8051,0.8029,0.7484,0.655,0.6986,29.0,6.8,476006eb47fe7cf9,restricted,2,,,
BiLSTM,ICU,Sequence Only,0.3334,0.5518,0.1608,0.1509,0.8128,0.2545,32.0,35.7,14d2082d80407129,restricted,3,,,
BiLSTM,ICU,Sequence + Tabular,0.7685,0.7898,0.4392,0.3326,0.6495,0.4399,22.0,26.4,14d2082d80407129,restricted,3,,,
BiLSTM,SW,Sequence Only,0.6843,0.698,0.6383,0.7128,0.5271,0.6061,34.0,7.5,476006eb47fe7cf9,restricted,3,,,
BiLSTM,SW,Sequence + Tabular,0.7382,0.8067,0.8044,0.7334,0.6783,0.7048,33.0,7.7,476006eb47fe7cf9,restricted,3,,,
BiLSTM,ICU,Sequence Only,0.3392,0.5427,0.1553,0.151,0.8046,0.2542,31.0,34.7,14d2082d80407129,restricted,4,,,
BiLSTM,ICU,Sequence + Tabular,0.7617,0.7895,0.4383,0.3248,0.6509,0.4334,27.0,32.3,14d2082d80407129,restricted,4,,,
BiLSTM,SW,Sequence Only,0.6829,0.6963,0.6395,0.7228,0.5054,0.5949,17.0,3.8,476006eb47fe7cf9,restricted,4,,,
